Company,Quarter,Transaction_Value,Adjusted_Revenue,MTU,Contribution_Margin,Adjusted_EBITDA_Margin,Transaction_Value_YoY,MTU_YoY,Adjusted_Revenue_YoY,Revenue_Rate,Date_Key,Search_Interest,Search_Interest_Lag1
Swiggy,Q1 FY24,5959,1455,12.6,5.2,-0.7,,,,24.416848464507467,2023-04-01,38.333333333333336,36.666666666666664
Swiggy,Q2 FY24,6275,1535,12.9,5.1,-0.8,,,,24.46215139442231,2023-07-01,40.666666666666664,38.333333333333336
Swiggy,Q3 FY24,6238,1533,12.5,5.9,0.3,,,,24.575184353959603,2023-10-01,37.333333333333336,40.666666666666664
Swiggy,Q4 FY24,6246,1559,12.9,6.7,0.5,,,,24.959974383605505,2024-01-01,41.0,37.333333333333336
Swiggy,Q1 FY25,6808,1730,14.0,6.4,0.8,14.247356939083744,11.111111111111116,18.900343642611684,25.411280846063455,2024-04-01,42.333333333333336,41.0
Swiggy,Q2 FY25,7191,1808,14.7,6.6,1.6,14.597609561752979,13.953488372093004,17.78501628664495,25.142539285217637,2024-07-01,48.0,42.333333333333336
Swiggy,Q3 FY25,7436,1860,14.9,7.4,2.5,19.204873356845155,19.199999999999996,21.330724070450092,25.013448090371167,2024-10-01,65.0,48.0
Swiggy,Q4 FY25,7347,1867,15.1,7.8,2.9,17.62728146013448,17.05426356589146,19.75625400898011,25.411732680005443,2025-01-01,50.0,65.0
Swiggy,Q1 FY26,8086,2080,16.3,7.3,2.4,18.772032902467693,16.428571428571438,20.231213872832377,25.723472668810288,2025-04-01,47.0,50.0
Swiggy,Q2 FY26,8542,2206,17.2,7.3,2.8,18.787373105270476,17.006802721088434,22.013274336283196,25.825333645516274,2025-07-01,45.0,47.0
Swiggy,Q3 FY26,8959,2277,18.1,7.6,3.0,20.48144163528778,21.476510067114106,22.419354838709673,25.415783011496817,2025-10-01,45.333333333333336,45.0
Swiggy,Q4 FY26,9005,2304,18.3,7.8,3.3,22.567034163604195,21.19205298013245,23.406534547402245,25.585785674625207,2026-01-01,41.333333333333336,45.333333333333336
Zomato,Q1 FY24,7318,1742,17.5,6.4,2.5,,,,23.80431811970484,2023-04-01,55.0,54.333333333333336
Zomato,Q2 FY24,7980,1938,18.4,6.6,2.6,,,,24.285714285714285,2023-07-01,58.333333333333336,55.0
Zomato,Q3 FY24,8486,2062,18.8,7.1,3.0,,,,24.298845156728728,2023-10-01,57.0,58.333333333333336
Zomato,Q4 FY24,8439,2050,19.0,7.5,3.3,,,,24.291977722478965,2024-01-01,59.0,57.0
Zomato,Q1 FY25,9264,2256,20.3,7.3,3.4,26.59196501776442,16.000000000000014,29.50631458094144,24.352331606217618,2024-04-01,57.0,59.0
Zomato,Q2 FY25,9690,2340,20.7,7.6,3.5,21.42857142857142,12.5,20.74303405572755,24.148606811145513,2024-07-01,67.33333333333333,57.0
Zomato,Q3 FY25,9913,2413,20.5,8.5,4.3,16.815932123497525,9.042553191489366,17.022308438409304,24.34177342883083,2024-10-01,65.66666666666667,67.33333333333333
Zomato,Q4 FY25,8210,2409,20.9,10.3,5.2,-2.7135916577793573,9.999999999999986,17.512195121951212,29.342265529841654,2025-01-01,65.33333333333333,65.66666666666667
Zomato,Q1 FY26,8967,2657,22.9,9.9,5.0,-3.205958549222798,12.807881773399,17.774822695035454,29.630868740938997,2025-04-01,48.333333333333336,65.33333333333333
Zomato,Q2 FY26,9423,2863,24.1,10.4,5.3,-2.7554179566563475,16.425120772946865,22.35042735042736,30.383105168205454,2025-07-01,45.0,48.333333333333336
Zomato,Q3 FY26,9846,3053,24.9,10.4,5.4,-0.6758801573691131,21.46341463414634,26.523000414421883,31.007515742433476,2025-10-01,44.333333333333336,45.0
Zomato,Q4 FY26,9757,3125,25.4,10.2,5.5,18.84287454323994,21.53110047846891,29.721876297218763,32.02828738341703,2026-01-01,41.666666666666664,44.333333333333336
