Company,Quarter,Transaction_Value,Adjusted_Revenue,MTU,Contribution_Margin,Adjusted_EBITDA_Margin
Swiggy,Q1 FY24,5959,1455,12.6,5.2,-0.7
Swiggy,Q2 FY24,6275,1535,12.9,5.1,-0.8
Swiggy,Q3 FY24,6238,1533,12.5,5.9,0.3
Swiggy,Q4 FY24,6246,1559,12.9,6.7,0.5
Swiggy,Q1 FY25,6808,1730,14,6.4,0.8
Swiggy,Q2 FY25,7191,1808,14.7,6.6,1.6
Swiggy,Q3 FY25,7436,1860,14.9,7.4,2.5
Swiggy,Q4 FY25,7347,1867,15.1,7.8,2.9
Swiggy,Q1 FY26,8086,2080,16.3,7.3,2.4
Swiggy,Q2 FY26,8542,2206,17.2,7.3,2.8
Swiggy,Q3 FY26,8959,2277,18.1,7.6,3
Swiggy,Q4 FY26,9005,2304,18.3,7.8,3.3
Zomato,Q1 FY24,7318,1742,17.5,6.4,2.5
Zomato,Q2 FY24,7980,1938,18.4,6.6,2.6
Zomato,Q3 FY24,8486,2062,18.8,7.1,3
Zomato,Q4 FY24,8439,2050,19,7.5,3.3
Zomato,Q1 FY25,9264,2256,20.3,7.3,3.4
Zomato,Q2 FY25,9690,2340,20.7,7.6,3.5
Zomato,Q3 FY25,9913,2413,20.5,8.5,4.3
Zomato,Q4 FY25,8210,2409,20.9,10.3,5.2
Zomato,Q1 FY26,8967,2657,22.9,9.9,5
Zomato,Q2 FY26,9423,2863,24.1,10.4,5.3
Zomato,Q3 FY26,9846,3053,24.9,10.4,5.4
Zomato,Q4 FY26,9757,3125,25.4,10.2,5.5
