"Time","Zomato","Swiggy"
"2021-08-01",100,41
"2021-09-01",75,39
"2021-10-01",58,39
"2021-11-01",64,41
"2021-12-01",57,43
"2022-01-01",81,45
"2022-02-01",86,40
"2022-03-01",69,40
"2022-04-01",61,42
"2022-05-01",74,44
"2022-06-01",70,40
"2022-07-01",81,41
"2022-08-01",84,44
"2022-09-01",68,40
"2022-10-01",60,37
"2022-11-01",60,34
"2022-12-01",56,37
"2023-01-01",56,36
"2023-02-01",58,37
"2023-03-01",49,37
"2023-04-01",50,38
"2023-05-01",54,36
"2023-06-01",61,41
"2023-07-01",53,41
"2023-08-01",67,41
"2023-09-01",55,40
"2023-10-01",57,37
"2023-11-01",60,36
"2023-12-01",54,39
"2024-01-01",55,38
"2024-02-01",62,42
"2024-03-01",60,43
"2024-04-01",60,44
"2024-05-01",58,43
"2024-06-01",53,40
"2024-07-01",59,44
"2024-08-01",76,49
"2024-09-01",67,51
"2024-10-01",63,54
"2024-11-01",69,83
"2024-12-01",65,58
"2025-01-01",72,51
"2025-02-01",66,50
"2025-03-01",58,49
"2025-04-01",54,44
"2025-05-01",46,49
"2025-06-01",45,48
"2025-07-01",48,46
"2025-08-01",46,46
"2025-09-01",41,43
"2025-10-01",44,47
"2025-11-01",42,43
"2025-12-01",47,46
"2026-01-01",48,42
"2026-02-01",37,41
"2026-03-01",40,41
"2026-04-01",38,38
"2026-05-01",38,40
"2026-06-01",39,38
"2026-07-01",40,42
"2026-08-01",38,44
